Пол,Возраст,Город,Готовность к переезду,Готовность к командировкам,Гражданство,Разрешение на работу,Знания языков,Образование,Дополнительное образование,Зарплата,Время в пути до работы,Занятость,График,Опыт работы (мес),Обязанности на пред.работе,Этап сделки
Ж,19,Москва,не готов к переезду,готов к командировкам,Россия,no_data,Русский,Среднее образование,no_data,40000.0,не имеет значения,полная занятость,полный день,32,"• Подбор и продажа туров по России и заграницу;• прием и распределение входящих звонков;• решение конфликтных ситуаций:• общение со службами (посольства границ, Миграционные службы, Роспотребнадзор, таможня, аэропорты);• организация работы офиса (контроль наличия расходных материалов, закупка канцтоваров);• подбор и анализ информации в интернете;• ведение документооборота: регистрация, учет, хранение, сканирование, архивирование документов;• организация приема клиентов (консультация, чай/кофе);• контроль работы сотрудников (курьеры);• согласование договоров с заказчиками, контроль графика платежей;• ведение деловой переписки;• взаимосвязь с другими отделами (бухгалтерия и другими офисами продаж); ведение кассы;• уверенное владение ПК и знание офисной техники;• ведение клиентской базы;• работа с сайтом компании;• поездки на мероприятия: бизнес-завтраки, бизнес -ужины с представителями отелей и компаний;• командировки за границу;• уверенное знание программ (Word, Excel, САМО ТУР, MS PowerPoint, Adobe Photoshop, Internet)., - Доставка документов по туристическим компаниям;- прием входящих телефонных звонков;- выполнение поручений руководителя.Занимала должность курьера, далее выполняла функции младшего менеджера., - Приготовление блюд;- Соблюдение технологических норм;- Уборка помещения и территории ресторана.",да
Ж,23,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Среднее специальное образование,no_data,30000.0,не имеет значения,полная занятость,удаленная работа,56,"Приём звонков и сообщений, разбор ситуаций, разрешение конфликтных ситуаций, разбор сообщений в мессенджерах, оценка проблемы и переключение на специалистов разных областей., Общение с клиентами, урегулирования спорных ситуаций, расчёт маршрута, отслеживание маршрута, связь с водителями., Отвечать на вопросы в чате, принимать звонки, помогать в оформлении заказов., Контроль операторов на линии, заполнение отчетности, прием заказов в загруженные дни( помощь операторам), прослушивание звонков, обучение новых сотрудников., Прием заказа, внесения заказа, приготовления заказа, вынос заказа, отчётность в конце рабочего дня, сверка итогов в конце месяца.",нет
Ж,23,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский,Среднее образование,no_data,40000.0,не имеет значения,"частичная занятость, полная занятость",удаленная работа,57,"Организация и ведение продаж, контроль над отгрузками товара и расчетами с покупателями,обновление и пополнение клиентской базы., Исходящие звонки, продажи, обработка данных., Привлечение клиентов в мед.центры,салоны красоты,холодные звонки, консультация клиентов, оформление заявок, контроль качества, составление статистики и отчетов, обучение операторов, общение с клиентами в соц. сетях, продажи,административная работа, Исходящие звонки, продажи, обработка данных., Принятие звонков, консультация клиентов, оформление заявок. Составление отчетности, курироване операторов, обучение операторов, Холодные продажи, оформление заявок, консультация кклиентов, Холодные продажи, оформление заявок.",да
М,25,Санкт-Петербург,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Среднее образование,no_data,70000.0,не имеет значения,"частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",68,"Продажа обучения языку. Работа с Юридическими лицами., Большой опыт работы с холодными и тёплыми лидами. Ведение клиентской базы, сопровождение клиентов в течении всего срока размещения. Опыт работы с региональным компаниями. За время работы в компании успел поработать с РГП и напрямую с РОП. Хочу заметить, что именно с меня и началась тенденция работы отдельных менеджеров с РОП. Работа без контроля и под собственную ответственность., Стандартные задачи менеджера на телефоне. Связь с клиентами, контроль сделок, контроль оплаты, дальнейшее сопровождение клиентов по сервису., Контроль сотрудников. Ведение документации. Прямой контакт с начальством и разбор полётов по моему отделу. Контроль за отведенной территорией на предприятии., Транспортировка товара. Комплектация товара., Консультирование клиентов. Активные продажи на месте. Контроль товара как старший отдела.",да
Ж,19,Красногорск,готов к переезду,не готов к командировкам,Россия,Россия,Русский,Среднее специальное образование,no_data,45000.0,не имеет значения,полная занятость,полный день,41,"Работа с клиентами, оформление договоров, заполнение документации, Встреча покупателей, подборка продукции, приём товара, работа на складе, заполнение документации, Работа в зале, помощи покупателем в подборке товаров, работа на складе, за кассой, Встреча гостей, проведение игры, составление меню, взаимодействие с кухней, аниматорами и шоу программами., Встреча гостей, приём заказов, вынос блюд, приготовление напитков, работа в зале и за барной стойкой",да
Ж,48,Москва,не готов к переезду,готов к командировкам,Россия,Россия,Русский Английский Сербский Украинский,Высшее образование,no_data,50000.0,не имеет значения,"частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",146,"1.Обслуживание Клиентов в соответствии с принятыми в компании стандартами• Выдача заказов клиентам за наличный расчёт и посредством приёма платёжных карт• Прием клиентских возвратов• Прием, хранение, учет материальных ценностей на ПВЗ• Формирование возвратных грузов, перевозок• Инкассация• Проведение погрузо-разгрузочных работ• Работа в информационных системах компании• Проведение инвентаризаций.• Обучение новых сотрудников2.Консультации клиентов по предоставляемым услугамПриём-выдача заказов клиентамВедение документации, реестров, журналовПодготовка отчётовРабота с кассойРазрешение конфликтных ситуаций, - Проведение презентаций физиотерапевтического оборудования;- Консультирование клиентов по характеристикам товара, показаниям к применению, способам использования-Продажа физиотерапевтического оборудования (массажеры для ног, плеч и спины, тепловых нефритовых матов, массажных накидок, кроватей и т.д.) посетителям центра;-Участие в проведении промоакций для посетителей центра;- Работа с существующей клиентской базой., Работа с сетью «ОБИ». Организация и контроль работы мерчендайзеров, обучение, тренинги. Подбор персонала. Общение с руководителями отделов магазинов, повышение лояльности магазинов. Переговоры по расширению полочной представленности, увеличению товарного запаса. Выставление продукции на TG, на дополнительные места.Инициация заказов, влияние на заказы, стратегия и тактика увеличения продаж, решение рабочих вопросов с магазинами, организация акций, участие в инвентаризации магазинов. Отслеживание маркетинговой активности конкурентов. Отчеты еженедельные, аналитические за месяц, фотоотчеты., Проведение первичных переговоров с клиентами.Подготовка первичного коммерческого предложения.Проведение презентации продукта или услуг клиенту.Обеспечение подписания договора с заказчиком.Обеспечение получения бухгалтерией и архивом оригинала договора.Выписка счетов на предоплату.Обеспечение оплаты от клиентов.Подготовка распоряжения на оказание услуг.Выписка первичных документов и обеспечение их подписания клиентом.Обеспечение получения подписанных документов от заказчика.Обеспечение доставки товара клиенту или проведения работ на объекте клиента.Обеспечение ежемесячных оплат клиентом.Обеспечение ежемесячной доставки первичной документации к клиенту и от него.Работа с дебиторской задолженностью.Заполнение CRM-системы при любом событии у клиента.Участие в торгах: работа по поиску аукциона, переговоры, заключение контракта с заказчиком, Работа с сетями «ОБИ», «Касторама», «Твой Дом», Леруа Мерлен. Организация и контроль работы мерчендайзеров, обучение, тренинги. Инициация заказов, тактика и стратегия увеличения продаж, решение рабочих вопросов с магазинами, организация акций, участие в инвентаризации магазинов. Отчеты еженедельные, аналитические за месяц, фотоотчеты., Работа с сетями «ОБИ», «Касторама», «Твой Дом», Леруа Мерлен. Организация и контроль работы мерчендайзеров, обучение, тренинги. Инициация заказов, тактика и стратегия увеличения продаж, решение рабочих вопросов с магазинами, организация акций, участие в инвентаризации магазинов. Отчеты еженедельные, аналитические за месяц, фотоотчеты.",да
Ж,50,Москва,готов к переезду,не готов к командировкам,Россия,Россия,Русский Немецкий,Высшее образование,Экономический,50000.0,не имеет значения,полная занятость,"гибкий график, полный день, сменный график, удаленная работа",45,"Первичное консультирование клиентов, Организационная работа, первичная документация, отчетность, Заключение договоров",нет
Ж,28,Москва,готов к переезду,готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,Национальный исследовательский технологический университет НИТУ МИСиС,120000.0,не более полутора часов,полная занятость,полный день,87,"Активный поиск и привлечение потенциальных клиентов; Участие в отраслевых тендерахВыявление потребностей клиентов в продукции, реализуемой компанией, согласовывание заказов с клиентами в соответствии с его потребностями;Проведение презентаций поставляемого оборудования и коммерческих переговоров с заказчиками и ключевыми лицами;Осуществление приема и обработки заказов клиентов, помощь в разработке ТЗ, подготовка и оформление технико-коммерческих-предложений;Мотивация клиентов на работу с компанией в соответствии с утвержденными программами по стимулированию сбыта;Составление ежемесячного отчета по продажам;Ведение и развитие действующей клиентской базы;Участие в реализации проектов, связанных с деятельностью отдела ВЭД;Участие в контроле отгрузок продукции клиентам;Участие в контроле оплаты покупателями товаров по заключенным договорам., Активный поиск и привлечение потенциальных заказчиков;Выявление потребностей клиентов в продукции, реализуемой компанией, и согласовывание заказов с клиентами в соответствии с его потребностями и наличием ассортимента;Проведение презентаций и коммерческих переговоров с клиентами и ключевыми лицами;Осуществление приема и обработки заказов клиентов, подготовка ТКП, разработка ТХ и ТУ продукции; Участие в отраслевых тендерах;Мотивация клиентов на работу с компанией в соответствии с утвержденными программами по стимулированию сбыта;Составление ежемесячного плана продаж;Ведение отчетности по продажам и отгрузкам клиентам компании;Ведение и развитие действующей клиентской базы;Контроль отгрузки продукции клиентам;Контроль оплаты покупателями товаров по заключенным договорам;Контроль дебиторской задолженности., Поиск потенциальных клиентов;Выяснение потребностей клиентов в продукции, реализуемой компанией, согласовывание заказов с клиентами в соответствии с его потребностями;Проведение коммерческих переговоров с клиентами;Осуществление приема и обработки заказов клиентов, подготовка ТКП;Мотивация клиентов на работу с компанией в соответствии с утвержденными программами по стимулированию сбыта;Составление ежемесячного плана продаж;Ведение отчетности по продажам и отгрузкам клиентам компании;Ведение клиентской базы;Контроль отгрузки продукции клиентам;Контроль оплаты покупателями товаров по заключенным договорам., Выполнение обязательств НИТУ «МИСиС» в соответствии с двусторонними соглашениями и договорами о сотрудничестве с зарубежными партнерами;участие в приеме международных делегаций, проведение переговоров по вопросам академических обменов;обеспечение информацией о стипендиальных программах;организация конкурсного отбора среди кандидатов;консультирование в выборе учебных программ и научных стажировок;помощь в оформлении документов для досье (консультирование при составлении резюме, мотивационных письмах и т.п.);информационная и административная поддержка подготовки и организации обучения за рубежом учащихся и преподавателей НИТУ «МИСиС»;мониторинг учебного процесса студентов в период обучения за рубежом;регулярная переписка с координаторами ВУЗов-партнеров;обеспечение постоянной информационной связи со студентами и аспирантами, находящимися на обучение за рубежом;подготовка студенческого актива к работе с иностранными студентами;координация сотрудничества с иностранными Посольствами и международными организациями;организация и проведение ежегодной Международной студенческой конференции «Study and Achieve», Проведение предполетного досмотра пассажиров, обслуживающего персонала и ручной клади, своевременное выявление, предупреждение и пресечение попыток проникновения на борт воздушных судов лиц с оружием, боеприпасами, взрывчатыми веществами, легковоспламеняющимися, отравляющими, радиоактивными и другими опасными предметами и веществами, а также предотвращения незаконного провоза опасных предметов и веществ, запрещенных к перевозке на воздушном транспорте по условиям авиационной безопасности, и иных предметов и веществ, запрещенных или ограниченных к свободному обороту на территории Российской Федерации., Помощь покупателям при выборе товара;Расстановка и пополнение товара на стеллажах;Участие в обучении по повышению уровня знаний по продукции;Участие в стимулировании продаж товара, в рекламных акциях, проводимых Компанией, Обеспечение студентов и слушателей методическими материалами, имеющимися на кафедре, планами семинарских и практических занятий; Выполнение машинописных работ и обеспечение их тиражирования;Оказание технической и другой помощи преподавателям в подготовке и проведении всех видов учебных занятий;Участие в составлении отчетов кафедры и других документов;Ведение делопроизводства на кафедре;, Расстановка и пополнение товара на стеллажах;Помощь покупателям при выборе товара;Стимулирование продаж, заданных администрацией видов товара;Приемка и расстановка принятого товара;Участие в инвентаризации.",да
Ж,29,Барнаул,готов к переезду,готов к командировкам,Россия,Россия,Русский,Высшее образование,no_data,40000.0,не имеет значения,полная занятость,полный день,71,"(работаю удалённо) ОАО «РЖД» Западно-Сибирский региональный общий центр обслуживания- Начисление заработной платы (более 500 человек), отпусков, оформление больничных листов, увольнение сотрудников.-Внутренняя отчетность, - Работа покупателями, оформление документов (счета-фактуры, ТТН, ТН) электронный документооборот, 62 счет, акты сверок.- Работа в программе 1С: 7.7- Предприятие- Инвентаризации",да
М,28,Москва,готов к переезду,готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,https://vk.com/@za.target-rezume-targetolog-anton-zaharov,120000.0,не более часа,"частичная занятость, проектная работа, полная занятость","полный день, сменный график, удаленная работа",66,"🔥Более красивое резюме с шуточками, фотографиями и кейсами все в одной статье -, 🔥Кейсы от 50.000 до 900.000 -, ➦ Собираю аудитории с помощью сервиса Таргет Хантер и Церебро➦ Умею оформлять сообщества и создавать их продающий вид➦ Могу создавать цепочки писем и мини-лендинги в почтовом сервисе Сенлер➦ Работаю с динамической меткой и могу отслеживать, с какого объявления пришел подписчик➦ Умею создавать автоворонки и чат-ботов в сервисе Whatshelp➦Владею фотошопом. Умею создавать баннера, картинки, логотипы, если не делаю это сам то ставлю ТЗ так, чтобы от него не вставали волосы на голове, так как был и с другой стороны баррикад➦ Владею навыками копирайтинга. Хорошо составляю продающие текста. Если бы у меня был дивиз он звучал бы как: «Если вас понимают — у вас купят, со мной вас всегда будут понимать»➦ Хорошо понимаю что такое позиционирование и личный бренд, как его использовать для монетизации продукта➦ Умею грамотно создавать контент-план, который будет цеплять, для сообществ любой тематики➦Отлично нахожу общий язык с внутренними сотрудниками по маркетингу и рекламе, моя задача не обесценить их труд, а сделать нашу совместную работу эффективнее➦ Умею создавать стратегию продвижения бренда, есть кейсы для крупных компаний, которые заходили на рынок соц. сетей с нуля и успешно на нем закрепились➦ Владею навыком нестандартного позиционирования бренда, легко делаю из скучных предложений конверсионные➦ Обладаю экспертным навыком оптимизации отдела продаж из «Эти лиды холодные, я не могу им продать, им не интересно» в «Ого, конверсия уже 24%»➦Интеграции лидогенерации в любые CRM системы, интеграция CRM системы в ваш бизнес, под любой формат продаж➦Внедрение систем онлайн касс, онлайн оплат➦Разработка маркетинговой воронки как на уровне рекламной кампании, так и на уровне бизнеса➦Оцифровка и запланированная отчетность в оговоренные сроки — никогда не запускаю дэдллайны➦Работа с пикселями, сквозной аналитикой Яндекс Метрикой, Google Analytics➦Создаю посадочные страницы: тильда, квиз, таплинк. Не просто создаю, а еще тестирую конверсию и исправляю по мере ведения рекламной кампании., Ого вы дочитали до этого этапа\U0001f929? Это достойно похвалы, вы на правильном пути! И перед тем, как вы продолжите ознакамливаться со списком моих достоинств, я должен вас поощрить!Больше не нужно искать специалиста под ваши задачи - вы его нашли! Сомнения?🔥Переходите по ссылке и ознакомьтесь с ЖИВЫМИ ОТЗЫВАМИ -, -Работа с коммерческими организациями и публичными личностями- Контроль ведения аккаунтов в социальных сетях: ВКонтакте, Одноклассники, Facebook, Instagram.- Мониторинг и редактирование информации на Яндекс-картах, Гугл-картах, отслеживание отзывов, работа с негативом- Разработка SM-стратегии.- Контроль: составления еженедельного контент-плана.- Контроль: написания постов, создание сторис.- Контроль: Таргетированной рекламы в указанных соцсетях, в том числе Leads Form и интеграции с CRM.- Контроль: Парсинга ааудитории Контакте (Target Hunter), Instagram (Zengram, InstaPlus).- Работа с базами ретаргетинга. Сбор базы, построение эффективной автоворонки, запуск рекламы на аудиторию посетителей сайта.- Работа с рассылкой во ВКонтакте (Senler).- Создание чат-ботов (Senler, Автопилот).- Работа с блогерами и взаимопиар. Обмен сторис, написание нативных постов для блогера.- Создание лендингов (Tilda).- Предоставление статистики и аналитических отчетов.- Общение с заказчиком выявление потребности и ее оцифровка-Созадние Маинд Карты и гипотез для тестов рекламных компаний-Создание продающих текстов и рекламных креативов - как фото, так и видео, стоп моушен-Создание посадочных страниц: тильда, квиз, таплинк-Корректировка и переупаковка групп и аккаунтов инстаграм🔥Масштабирование под необходимые бюджеты: опыт работы с бюджетами от 300тр до 3 млн- Ведение рекламных кампаний в Facebook/Instagram, Вконтакте, MyTarget- Медиапланирование c бюджетом от 300 000 до 3 000 000 рублей по площадкам социальных сетей Instagram/Facebook, My.Target, Вконтакте (Excel, Google Таблицы)- Ведение отчетности (Google Таблицы)- Месячная отчетность (PowerPoint)- Написание текстов- Разработка креативов- Проведение A/B-тестов- Изучение ниши и целевой аудитории- Работа с парсерами Ninja.Pepper, Церебро, ТаргетХантер- Работа с аналитикой рекламных кабинетов- Работа с системами аналитики Яндекс.Метрика- Работа c Bitrix24- Анализ и улучшение рекламных кампаний- Оптимизация рекламных расходов➡️Руководил группой junior-таргетологов:-Постановка задачи-Корректировка гипотез-Контроль результатов, • Настройка таргетированной рекламы в Ads Manager и VK• Парсинг через TargetHunter + настройка пикселей и ретаргетинга• Сбор участников на оффлайн мероприятия• Аналитика и оптимизация РК с соблюдением KPI• Определение портретов ЦА и ""болей"" клиента• Формирование и тестирование гипотез• Анализ продуктовой линейки конкурентов• Закупка трафика с маркет-платформы и у лидеров мнений• Сбор базы для sms и email-рассылок + работа с UniSender• Работа с Яндекс.Метрикой и Google Analytics• Настройка автоворонок сообщений в VK через Гамаюн• Подготовка отчётности в Excel, PowerPoint и Google Docs• Участие в составлении медиаплана на месяц/квартал/год• Работа с CRM и отделом продаж по вопросу качества лидов• Написание рекламных текстов и создание креативов и/или постановка ТЗ для отделов дизайна и копирайтинга🔥Это был мой собственный проект, который на пике делал 300.000р выручки🔥Так же это были самые крупные живые соц. сети города Иваново на 2017 год, SMM продвижение в Instagram,Vk, Fb-анализ целевой аудитории-анализ конкурентов-разработка маркетинговой стратегии-разработка уникального торгового предложения-создание и оформление аккаунтов-создание контента-разработка контент-плана-полное ведение аккаунтов-работа с фотографами-копирайт- создание визуалов- таргетированная реклама ( настройка, контроль и отслеживание результатов, мониторинг и отчёты с выводами и рекомендациями)-работа с блогерами, подбор , размещение рекламных постов- работа с рекламными площадками-конкурсы , опросы",да
Ж,34,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский Кумыкский,Высшее образование,no_data,50000.0,не имеет значения,"частичная занятость, полная занятость",удаленная работа,159,"Проводить инвентаризациюАнализировать продажиПродвижение товараРабота с контрагентамиВыбор товараВедение бухгалтерской документацииНачисление заработной платыКонтроль графика работы персоналаОтвечать на звонкиЗнание характеристик товараИ т.д., Прием научных статейОтслеживание сопутствующей документацииВерстка научного журнала, Преподавание дисциплины ""Информационные системы"", Преподавание дисциплины ""Менеджмент"", Ведение документооборота организации, Оказание помощи клиентам при заполнении налоговых деклараций, ведение документооборота организации",нет
М,26,Харьков,не готов к переезду,готов к командировкам,Украина,no_data,Русский,Высшее образование,no_data,70000.0,не имеет значения,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",56,"- Поиск и адаптация новых сотрудников.- Постановка задач сотрудникам отдела.- Создание и улучшение скриптов.- Создание и контроль исполнения регламента работы отдела продаж.- Создание и внедрение воронки продаж.- Подключение и настройки Телефонии.- Настройка CRM системы.- Решение проблем и разногласий внутри отдела и между сотрудниками разных отделов.- Выполнение и перевыполнение плана продаж.- Контроль работы менеджеров по продажам в CRM и Телефонии.- Контроль выполнения задач и закрытия сделок в CRM.- Контроль дисциплины менеджеров.- Прослушивание звонков.- Тестирование новых продуктов компании.- Внедрение новых инстументов продаж.- Автоматизация работы менеджеров по продажам.- Взаимодействие с отделом маркетинга, отделом обучения и IT отделом.- Планирование и анализ продаж.- Участие в принятии решений о стратегии развития компании.- Организация и проведение собраний отдела.- Еженедельная, ежемесячная отчетность в цифровых показателях. Отчет по звонкам, профориентациям, продажам, автопродажам, отменам, оплатам, среднему чеку, по менеджерам и отделу в целом. Отчетность по проданным курсам, источникам трафика, типам заявок, оплатам с автопродаж, доплатам., - подбор и обучение новых сотрудников;- курирование работы команды из 20 менеджеров;- разработка системы мотивации для менеджеров;- составление оптимального рабочего графика для команды;- написание скриптов адаптируя их под конкретный проект;- разработка показателей KPI для менеджеров;- прослушивание звонков совершенных менеджерами;- контроль соблюдения регламента компании;- общение с партнёрами и решение конфликтных ситуаций;- решение технических проблем (интернет, ip телефония и тд);- проведение собраний и тренингов;- ежедневная и ежемесячная отчётность о проделанной работе;- выполнение плановых показателей каждого менеджера и отдела в целом;- курирование проектов трафиком до 60тыс мин/мес., - приём и обработка входящих звонков;- совершение исходящих звонков по базе клиентов;- обработка заявок с почты/crm;- выполнение плановых показателей по конверсии и качеству разговора;- оформление заказов и контроль их выполнения;- развитие клиентской базы компании.",нет
Ж,34,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,50000.0,не имеет значения,полная занятость,полный день,121,"Работа с клиентами, поиск новых клиентов, выполнение плана продаж, Верификация клиентов. Регистрация входящей корреспонденции в ПК АИС ФССП, регистрация электронных обращений, выполнение поручений начальника отдела. Подготовка и оформление документов по корпоративным стандартам. Информирование о наличии задолженности по средствам телефонных переговоров, отправки e-mail, досудебных претензий., Осуществление Юр. Деятельности, составление нормативно правовых документов, оформление исковых заявлений, правовая экспертиза поступающей документации., Выявление потребностей клиента, консультирование клиента,работа с кассовым аппаратом, закупка продукции, выполнение плана продаж.",нет
